Player,Team,Matches,Innings,Runs,Average,Strike Rate,100s,50s,High Score
Dilanka Auwardt,Kurunegala Youth Cricket Club,3,3,2,0,5.88,0,0,2*
Sanjula Bandara,Ragama Cricket Club,1,2,1,1,5.55,0,0,1
Thimira Irushika,Chilaw Marians Cricket Club,1,2,1,1,3.57,0,0,1
Theesan Vithusan,Tamil Union Cricket and Athletic Club,1,1,0,0,0,0,0,0
Asitha Fernando,Colombo Cricket Club,1,0,0,0,0,0,0,0*
Tharana Wimaladarma,Colts Cricket Club,1,0,0,0,0,0,0,0*
Supun Kavinda,Nugegoda Sports and Welfare Club,1,1,0,0,0,0,0,0
Malsha Tharupathi,Moors Sports Club,1,1,0,0,0,0,0,0
Akmal Fazly,Sinhalese Sports Club,3,3,0,0,0,0,0,0
Charuka Pramod,Police Sports Club,2,2,0,0,0,0,0,0*
Nipun Premarathna,Chilaw Marians Cricket Club,2,3,0,0,0,0,0,0*
Thilan Prashan,Moors Sports Club,2,2,0,0,0,0,0,0
Melan Hansaka,Ace Capital Cricket Club,4,5,0,0,0,0,0,0*
Dulaj Samuditha,Bloomfield Cricket and Athletic Club,1,1,0,0,0,0,0,0
Abhishek Anandakumara,Nugegoda Sports and Welfare Club,1,1,0,0,0,0,0,0
Dunith Wellalage,Colts Cricket Club,1,1,0,0,0,0,0,0
Sadeep Fernando,Badureliya Sports Club,1,0,0,0,0,0,0,0*
Kavindu Dilhara,Tamil Union Cricket and Athletic Club,1,1,0,0,0,0,0,0
Kaveesha Dulanjana,Ragama Cricket Club,1,0,0,0,0,0,0,0*
Tharinda Wijesinghe,Kurunegala Youth Cricket Club,1,1,0,0,0,0,0,0
Kamindu Mendis,Colombo Cricket Club,1,0,0,0,0,0,0,0*
