Rank,Player,Team,Quality (Raw),Consistency Quality-Weighted (Raw),Participation (Raw),Dominance (Raw),Quality (Norm),Consistency Quality-Weighted (Norm),Participation (Norm),Dominance (Norm),WBI Score
181,Lakshitha Manasinghe,Sinhalese Sports Club,88.2449,0.0105,0.3569,0.0594,0.2223,0.0224,0.2143,0.2885,0.1902
182,Ranitha Liyanarachchi,Kurunegala Youth Cricket Club,79.6065,0.0069,0.4341,-0.4529,0.1993,0.0148,0.3113,0.1898,0.189
183,Nipun Dhananjaya,Sinhalese Sports Club,97.2831,0.0053,0.3469,-0.1393,0.2464,0.0112,0.2017,0.2502,0.1888
184,Chamika Heenatigala,Burgher Recreation Club,82.7848,0.0039,0.2952,0.9312,0.2078,0.0084,0.1368,0.4564,0.1874
185,Malindu Maduranga,Kandy Customs Sports Club,82.8145,0.0236,0.3797,-0.327,0.2079,0.0504,0.2429,0.2141,0.186
186,Kamesh Nirmal,Tamil Union Cricket and Athletic Club,67.2325,0.1664,0.2307,-0.2548,0.1664,0.3558,0.0558,0.228,0.1859
187,Sahan Nanayakkara,Bloomfield Cricket and Athletic Club,29.6181,0.0016,0.6521,-1.0406,0.0663,0.0035,0.5848,0.0766,0.1849
188,Buddhika Sanjeewa,Badureliya Sports Club,42.2654,0.0018,0.6048,-1.0093,0.0999,0.0039,0.5255,0.0826,0.1845
189,Upul Indrasiri,Negombo Cricket Club,59.9754,0.0066,0.4959,-0.5718,0.1471,0.0142,0.3887,0.1669,0.1839
190,Mohammed Shiraz,Burgher Recreation Club,39.8477,0.0024,0.6048,-1.0074,0.0935,0.0052,0.5255,0.083,0.1823
191,Sineth Jayawardena,Tamil Union Cricket and Athletic Club,79.2055,0.006,0.4169,-0.4974,0.1982,0.0127,0.2896,0.1812,0.1814
192,Chathuranga De Silva,Colombo Cricket Club,109.2034,0.0047,0.2479,0.2351,0.2781,0.0101,0.0775,0.3223,0.181
193,Gayana Weerasinghe,Kurunegala Youth Cricket Club,76.2211,0.0193,0.3969,-0.4197,0.1903,0.0412,0.2645,0.1962,0.1799
194,Kavindu Nadeeshan,Sinhalese Sports Club,92.9427,0.0029,0.2724,0.5427,0.2348,0.0061,0.1082,0.3816,0.1794
195,Chathuranga Kumara,Police Sports Club,76.2782,0.0033,0.4314,-0.5776,0.1905,0.007,0.3078,0.1658,0.1794
196,Milinda Siriwardena,Negombo Cricket Club,96.5178,0.0102,0.2852,0.0822,0.2443,0.0219,0.1242,0.2929,0.1771
197,Umesh Lakshan,Negombo Cricket Club,99.3363,0.0137,0.2307,0.4737,0.2518,0.0294,0.0558,0.3683,0.1758
198,Ayana Siriwardana,Badureliya Sports Club,96.569,0.0054,0.3052,-0.1096,0.2445,0.0115,0.1494,0.2559,0.1758
199,Nisala Tharaka,Panadura Sports Club,68.2374,0.0027,0.4359,-0.4871,0.1691,0.0057,0.3134,0.1832,0.1746
200,Pulindu Perera,Nugegoda Sports and Welfare Club,89.2278,0.0061,0.2679,0.5015,0.2249,0.0129,0.1026,0.3736,0.1743
201,Adeesha Thilanchana,Badureliya Sports Club,83.599,0.006,0.3569,-0.2755,0.2099,0.0129,0.2143,0.224,0.1737
202,Dilshan Munaweera,Negombo Cricket Club,83.9227,0.0363,0.2952,-0.0985,0.2108,0.0777,0.1368,0.2581,0.1728
203,Pawan Sandesh,Colombo Cricket Club,81.5553,0.0057,0.3224,0.0933,0.2045,0.0122,0.171,0.295,0.1712
204,Deshan Dias,Burgher Recreation Club,84.8395,0.0058,0.3252,-0.065,0.2132,0.0124,0.1745,0.2645,0.1711
205,Lakshan Sandakan,Colombo Cricket Club,58.8722,0.0039,0.4386,-0.3471,0.1441,0.0084,0.3169,0.2102,0.1701
