Player,Team,Matches,Innings,Runs,Average,Strike Rate,100s,50s,High Score
Tharusha Fernando,Sebastianites Cricket and Athletic Club,5,6,32,5.33,37.64,0,0,15
Dulaj Samuditha,Tamil Union Cricket and Athletic Club,3,5,30,10,83.33,0,0,20
Inshaka Siriwardena,Galle Cricket Club,2,3,30,10,42.85,0,0,18
Omesh Mendis,Moors Sports Club,2,3,30,10,35.29,0,0,12
Rajinda Punchihewa,Chilaw Marians Cricket Club,4,5,30,6,32.25,0,0,17
Gayan Sirisoma,Kandy Customs Sports Club,9,12,30,5,42.25,0,0,10
Tharinda Wijesinghe,Kurunegala Youth Cricket Club,1,1,29,29,47.54,0,0,29
Pathum Boteju,Sri Lanka Army Sports Club,1,2,29,14.5,41.42,0,0,29
Buddhika Sanjeewa,Kandy Customs Sports Club,5,6,29,4.83,85.29,0,0,13
Tharusha Silva,Police Sports Club,4,6,29,4.83,42.02,0,0,22
JEEWAKA RASHMITHA,Negombo Cricket Club,3,6,28,4.67,40,0,0,12
AMATYA KAUL,Sebastianites Cricket and Athletic Club,1,2,27,13.5,41.53,0,0,17
Vishwa Fernando,Colombo Cricket Club,8,7,27,6.75,24.54,0,0,11*
Dilan Jayalath,Kurunegala Youth Cricket Club,2,2,26,13,40,0,0,17
Dulanjala Mendis,Sri Lanka Air Force Sports Club,3,4,26,8.67,20.63,0,0,16
Kavindu Pathiratne,Tamil Union Cricket and Athletic Club,4,5,26,6.5,24.07,0,0,15
Udith Madushan,Colts Cricket Club,7,6,26,5.2,21.66,0,0,13
Asitha Fernando,Colombo Cricket Club,6,4,25,8.33,60.97,0,0,12
Sasith Manuranga,Kandy Customs Sports Club,2,4,25,8.33,30.48,0,0,22
Avishka Perera,Colts Cricket Club,4,6,25,4.17,44.64,0,0,18
Naren Muralidaran,Badureliya Sports Club,4,7,25,4.17,27.47,0,0,9
Sahan Nanayakkara,Bloomfield Cricket and Athletic Club,9,11,25,3.57,13.36,0,0,8
Vihanga Ruwanara,Sri Lanka Air Force Sports Club,1,2,24,12,31.16,0,0,23
Shanuka Galagoda,Galle Cricket Club,1,2,23,11.5,41.81,0,0,23
Himesh Ramanayake,Bloomfield Cricket and Athletic Club,4,6,23,4.6,25,0,0,8*
Sachith Pathirana,Tamil Union Cricket and Athletic Club,2,2,22,11,57.89,0,0,13
Seekkuge Prasanna,Sri Lanka Army Sports Club,2,3,22,7.33,84.61,0,0,21
DESHAN SENEVIRATHNE,Kurunegala Youth Cricket Club,1,1,21,21,37.5,0,0,21
Chathura Lakshan,Galle Cricket Club,1,2,21,10.5,47.72,0,0,11
Kalana Perera,Sinhalese Sports Club,4,3,21,7,51.21,0,0,19
TRAVEEN MATHEW,Panadura Sports Club,2,3,21,7,22.58,0,0,16
Raveen Sayer ,Nondescripts Cricket Club,2,4,21,5.25,55.26,0,0,19
Rishith Upamal,Nugegoda Sports and Welfare Club,3,4,21,5.25,22.1,0,0,11
Dhammika Prasad,Chilaw Marians Cricket Club,1,1,20,20,58.82,0,0,20
Prabath Jayasuriya,Sinhalese Sports Club,6,3,20,10,36.36,0,0,13
Malka Madushanka,Colts Cricket Club,5,4,20,10,16.8,0,0,13*
Keshara Nuwantha,Chilaw Marians Cricket Club,2,3,20,6.67,46.51,0,0,18
Dilanka Auwardt,Kurunegala Youth Cricket Club,6,6,20,5,14.18,0,0,11
B S N Kasun,Badureliya Sports Club,2,3,19,6.33,28.78,0,0,14
Dilshan Kanchana,Galle Cricket Club,2,4,19,4.75,46.34,0,0,13
Ayon Fernando,Chilaw Marians Cricket Club,4,6,19,3.17,29.23,0,0,11
Ashan Dilhara,Ace Capital Cricket Club,2,2,18,9,51.42,0,0,17
Lahiru Abeysinghe,Panadura Sports Club,3,4,18,9,32.14,0,0,10*
Lahiru Attanayake,Kandy Customs Sports Club,2,3,18,6,36,0,0,14
Randeera Ranasinghe,Kurunegala Youth Cricket Club,3,2,16,8,69.56,0,0,16
Nayana Fernando,Burgher Recreation Club,1,2,16,8,51.61,0,0,16
Supun Kavinda,Chilaw Marians Cricket Club,1,2,16,8,50,0,0,8
KAVINDU RANASINGHE,Sebastianites Cricket and Athletic Club,1,2,16,8,48.48,0,0,15
Tharindu Rukshan,Sri Lanka Air Force Sports Club,1,2,16,8,18.39,0,0,8
Sarujan Sammuganathen,Nugegoda Sports and Welfare Club,3,3,16,5.33,29.09,0,0,8
Dhanosh De Silva,Sri Lanka Air Force Sports Club,5,7,16,4,25.39,0,0,6*
Tilanga Udeshana,Moors Sports Club,4,5,16,4,24.61,0,0,8
Harshana Wickramasinghe,Colts Cricket Club,3,3,15,15,21.42,0,0,8
Aravinth Rajendran,Bloomfield Cricket and Athletic Club,2,4,15,7.5,36.58,0,0,12*
Chanura Fernando,Negombo Cricket Club,8,11,15,3.75,21.12,0,0,10
Damith Silva,Chilaw Marians Cricket Club,5,5,15,3,31.91,0,0,9
RYAN FERNANDO,Sebastianites Cricket and Athletic Club,1,2,14,14,45.16,0,0,8*
Kavindu Dilhara,Badureliya Sports Club,1,1,14,14,31.81,0,0,14
Amitha Dabare,Nugegoda Sports and Welfare Club,1,2,14,7,50,0,0,8
Kanishka Maduwantha,Galle Cricket Club,1,2,14,7,26.92,0,0,11
Dunith Jayathunga,Badureliya Sports Club,2,3,14,4.67,35.89,0,0,9
Kaumal Nanayakkara,Sri Lanka Army Sports Club,8,5,13,13,21.31,0,0,7
Chanuka Dilshan,Kurunegala Youth Cricket Club,4,2,13,6.5,39.39,0,0,7
Theeraka Ranatunga,Ace Capital Cricket Club,4,4,13,4.33,52,0,0,8*
Sahan Adeesha,Galle Cricket Club,6,4,13,3.25,61.9,0,0,6
Chamika Karunaratne,Nondescripts Cricket Club,1,1,12,12,57.14,0,0,12
Thimira Irushika,Chilaw Marians Cricket Club,5,6,12,6,48,0,0,9
Tharush Damindu,Galle Cricket Club,1,2,11,5.5,40.74,0,0,10
Dimuth Karunarathna,Sinhalese Sports Club,1,1,10,10,76.92,0,0,10
Madusha Ravichandrakumar,Sebastianites Cricket and Athletic Club,1,2,10,5,52.63,0,0,10
Hasitha Rajapaksha,Kandy Customs Sports Club,1,2,10,5,20.4,0,0,10
Hasaru Chamikara,Sri Lanka Air Force Sports Club,2,3,10,3.33,15.87,0,0,6
Kaveesha Rajapaksa,Galle Cricket Club,1,2,9,4.5,39.13,0,0,8
NIMNAKA JAYATHILAKE,Sinhalese Sports Club,5,4,9,4.5,19.56,0,0,6*
UMESH KASUN,Panadura Sports Club,1,2,9,4.5,17.3,0,0,7
Janidu Induwara,Panadura Sports Club,3,5,9,1.8,30,0,0,7
Kasun Weeranga,Kurunegala Youth Cricket Club,1,2,8,0,42.1,0,0,8*
Binura Fernando,Ragama Cricket Club,1,1,7,7,100,0,0,7
Iwanka Sanjula,Panadura Sports Club,1,1,6,6,37.5,0,0,6
Vinushka Silva,Colombo Cricket Club,1,1,6,6,33.33,0,0,6
Nimna Fernando,Kandy Customs Sports Club,1,2,6,3,42.85,0,0,6
Nadun Dilshan ,Sri Lanka Air Force Sports Club,1,2,6,3,35.29,0,0,4
Dellon Peiris,Ragama Cricket Club,2,2,6,3,33.33,0,0,6
Charith Rajapaksha,Sebastianites Cricket and Athletic Club,3,4,6,2,17.14,0,0,4
Gayan Chandrabose,Sri Lanka Army Sports Club,2,2,6,0,50,0,0,6*
Pawan Pathiraja,Colombo Cricket Club,2,4,5,1.25,18.51,0,0,5
Ashan Fernando,Ragama Cricket Club,1,2,4,2,22.22,0,0,4
Eshan Malinga,Ragama Cricket Club,5,3,4,1.33,11.11,0,0,4
Yashan Avishka,Panadura Sports Club,3,2,2,2,28.57,0,0,2*
Hasitha Nirmal,Kandy Customs Sports Club,1,1,2,2,20,0,0,2
Nipuna Kariyawasam,Sri Lanka Air Force Sports Club,1,2,2,2,14.28,0,0,2
Charuka Pramod,Police Sports Club,4,4,2,0.67,11.11,0,0,2
Tamindu Wickramaarchchi,Badureliya Sports Club,1,1,2,0,18.18,0,0,2*
Arul Pragasam,Burgher Recreation Club,1,1,1,1,25,0,0,1
Sasika Dilshan,Burgher Recreation Club,2,3,1,0.5,2.56,0,0,1
Dilshan Abeysinghe,Nugegoda Sports and Welfare Club,6,8,1,0.5,1.85,0,0,1*
Shehan Hasaranga,Sinhalese Sports Club,1,1,1,0,14.28,0,0,1*
Dhanushka Ranasinghe,Kandy Customs Sports Club,2,2,1,0,9.09,0,0,1*
Hashan Sandeepa,Panadura Sports Club,3,2,1,0,7.14,0,0,1*
Asanka Manoj,Sri Lanka Army Sports Club,6,3,0,0,0,0,0,0
Amesh Thennakoon,Kurunegala Youth Cricket Club,1,1,0,0,0,0,0,0
Shean Wijesinghe,Badureliya Sports Club,1,1,0,0,0,0,0,0
Theesan Vithusan,Moors Sports Club,5,6,0,0,0,0,0,0*
Sandun Madusanka,Nugegoda Sports and Welfare Club,1,1,0,0,0,0,0,0
Vinuda Liyanage,Burgher Recreation Club,1,2,0,0,0,0,0,0
Yugeesha Dishan,Nondescripts Cricket Club,1,1,0,0,0,0,0,0*
Kasun Rajitha,Sinhalese Sports Club,1,0,0,0,0,0,0,0*
Jagath Rajapaksha,Sri Lanka Army Sports Club,1,1,0,0,0,0,0,0*
Shyamsunder,Colts Cricket Club,4,5,0,0,0,0,0,0*
Malindu Shehan,Burgher Recreation Club,1,2,0,0,0,0,0,0
Kalana Liyanage,Nondescripts Cricket Club,1,1,0,0,0,0,0,0*
Dineth Thimodya,Ragama Cricket Club,1,1,0,0,0,0,0,0
HANSAMANA DE SILVA,Galle Cricket Club,3,5,0,0,0,0,0,0*
Theekshana Wickramasinghe,Sri Lanka Army Sports Club,1,0,0,0,0,0,0,0*
Nuwan Pradeep,Police Sports Club,1,1,0,0,0,0,0,0*
Sampath Nishshanka,Nondescripts Cricket Club,1,1,0,0,0,0,0,0*
Mohamed Dilshad,Sebastianites Cricket and Athletic Club,3,4,0,0,0,0,0,0
Asela Sampath,Panadura Sports Club,4,4,0,0,0,0,0,0*
Nisala Akash,Kandy Customs Sports Club,2,0,0,0,0,0,0,0*
